Date,Actual,LSTM_Predicted,ARIMA_Predicted
2024-03-26,416.2239074707031,409.2329,380.00702783648234
2024-03-27,416.0066833496094,409.72266,380.17027868085523
2024-03-28,415.3058166503906,409.76736,380.33352952522813
2024-04-03,415.0393676757813,409.10294,380.8232820583468
2024-04-04,412.50244140625,408.65265,380.9865329027197
2024-04-05,420.0440673828125,407.91208,381.1497837470926
2024-04-08,419.1260681152344,407.8536,381.3130345914655
2024-04-09,420.7943115234375,408.02255,381.4762854358384
2024-04-10,417.8132019042969,408.49597,381.6395362802113
2024-04-11,422.4230651855469,408.7878,381.8027871245842
2024-04-15,408.3169860839844,409.59488,382.12928881333
2024-04-16,409.2448425292969,408.69827,382.2925396577029
2024-04-17,406.5401306152344,407.45297,382.4557905020758
2024-04-18,399.0675354003906,405.83267,382.6190413464487
2024-04-19,393.9838562011719,403.43732,382.7822921908216
2024-04-22,395.8001098632813,400.39792,382.9455430351945
2024-04-23,402.3250732421875,397.5025,383.1087938795674
2024-04-24,403.7958679199219,395.5897,383.27204472394027
2024-04-25,393.9048767089844,394.51886,383.43529556831317
2024-04-29,397.0735473632813,392.3538,383.76179725705896
2024-04-30,384.31976318359375,391.66296,383.92504810143186
2024-05-02,392.7202758789063,388.21033,384.25154979017765
2024-05-03,401.4267883300781,387.0546,384.41480063455055
2024-05-06,408.2182922363281,387.12338,384.57805147892344
2024-05-07,404.07232666015625,388.495,384.74130232329634
2024-05-08,405.2568664550781,390.03372,384.90455316766923
2024-05-09,407.0139465332031,391.6925,385.06780401204213
2024-05-14,411.1994018554688,396.7887,385.5575565451608
2024-05-15,418.3887634277344,398.3354,385.7208073895337
2024-05-16,416.3219604492188,400.4057,385.8840582339066
2024-05-20,420.6237182617188,403.8502,386.2105599226524
2024-05-23,422.2653503417969,409.5115,386.7003124557711
2024-05-28,425.5485229492188,412.36163,387.0268141445169
2024-05-29,424.4112854003906,413.5179,387.1900649888898
2024-05-30,410.072021484375,414.31818,387.3533158332627
2024-05-31,410.5269775390625,413.4099,387.5165666776356
2024-06-03,408.9347839355469,411.80185,387.6798175220085
2024-06-04,411.4565734863281,409.7582,387.8430683663814
2024-06-06,419.8128051757813,407.1455,388.16957005512717
2024-06-07,419.1502685546875,407.0297,388.33282089950006
2024-06-11,427.8823547363281,408.08017,388.65932258824586
2024-06-12,436.16943359375,409.6014,388.82257343261875
2024-06-14,437.6626892089844,415.0574,389.14907512136455
2024-06-17,443.3983154296875,417.95596,389.31232596573744
2024-06-18,441.390869140625,421.13846,389.47557681011034
2024-06-20,440.7580261230469,423.90045,389.63882765448324
2024-06-21,444.792724609375,426.10513,389.80207849885613
2024-06-25,445.9497680664063,429.6944,390.1285801876019
2024-06-26,447.1463623046875,431.09708,390.2918310319748
2024-06-27,447.8287048339844,432.36887,390.4550818763477
2024-07-01,451.6656494140625,433.82678,390.7815835650935
2024-07-02,454.1874084472656,434.71243,390.9448344094664
2024-07-03,455.6608581542969,435.96033,391.1080852538393
2024-07-05,462.3755798339844,437.42502,391.2713360982122
2024-07-09,454.4445495605469,441.60626,391.597837786958
2024-07-10,461.0801696777344,442.7963,391.7610886313309
2024-07-12,448.52093505859375,444.11807,392.0875903200767
2024-07-15,448.9263916015625,443.39917,392.2508411644496
2024-07-17,438.6021423339844,440.81003,392.5773428531954
2024-07-18,435.487060546875,438.55383,392.7405936975683
2024-07-19,432.2632141113281,435.8735,392.90384454194117
2024-07-23,439.91741943359375,430.71027,393.23034623068696
2024-07-24,424.1442260742188,429.2713,393.39359707505986
2024-07-25,413.76068115234375,426.83087,393.55684791943276
2024-07-26,420.5545043945313,423.20963,393.72009876380565
2024-07-29,421.9983520507813,420.04004,393.88334960817855
